cluster,celltype,cellname,comments,,number,name,,
1,1,B cell,ok,,1,B cell,,
2,1,B cell,ok,,2,CD8 T cell,,
3,3,CD4 T cell,ok,,3,CD4 T cell,,
4,6,M1 Macrophage,ok,,4,Treg,,
5,7,M2 Macrophage,ok,,5,NK cell,,
6,8,Dendritic cell,ok,,6,M1 Macrophage,,
7,8,Dendritic cell,ok,,7,M2 Macrophage,,
8,8,Dendritic cell,ok,,8,Dendritic cell,,
9,3,CD4 T cell,unsure,,,,,
10,1,B cell,ok,,,,,
11,1,B cell,ok,,,,,
12,1,B cell,ok,,,,,
13,6,M1 Macrophage,ok,,,,,
14,7,M2 Macrophage,ok,,,,,
15,5,NK cell,ok,,,,,
16,1,B cell,ok,,,,,
17,1,B cell,ok,,,,,
18,1,B cell,ok,,,,,
19,1,B cell,ok,,,,,
20,4,Treg,ok,,,,,
21,4,Treg,ok,,,,,
22,3,CD4 T cell,ok,,,,,
23,5,NK cell,ok,,,,,
24,5,NK cell,ok,,,,,
25,1,B cell,ok,,,,,
26,1,B cell,ok,,,,,
27,4,Treg,ok,,,,,
28,5,NK cell,ok,,,,,
29,1,B cell,ok,,,,,
30,1,B cell,ok,,,,,
31,5,NK cell,ok,,,,,
32,3,CD4 T cell,unsure,,,,,
33,3,CD4 T cell,ok,,,,,
34,3,CD4 T cell,ok,,,,,
35,3,CD4 T cell,ok,,,,,
36,3,CD4 T cell,ok,,,,,
37,1,B cell,ok,,,,,
38,3,CD4 T cell,unsure,,,,,
39,2,CD8 T cell,ok,,,,,
40,2,CD8 T cell,ok,,,,,
41,3,CD4 T cell,ok,,,,,
42,1,B cell,ok,,,,,
43,3,CD4 T cell,unsure,,,,,
44,3,CD4 T cell,unsure,,,,,
45,2,CD8 T cell,ok,,,,,
46,2,CD8 T cell,ok,,,,,
47,2,CD8 T cell,ok,,,,,
48,3,CD4 T cell,ok,,,,,
49,3,CD4 T cell,ok,,,,,
50,3,CD4 T cell,ok,,,,,
