"","cellID","cluster"
"1",1,27
"2",2,27
"3",3,22
"4",4,29
"5",5,9
"6",6,32
"7",7,18
"8",8,9
"9",9,9
"10",10,9
"11",11,30
"12",12,29
"13",13,29
"14",14,34
"15",15,18
"16",16,34
"17",17,9
"18",18,49
"19",19,8
"20",20,9
"21",21,9
"22",22,22
"23",23,17
"24",24,29
"25",25,18
"26",26,29
"27",27,22
"28",28,22
"29",29,22
"30",30,30
"31",31,9
"32",32,23
"33",33,28
"34",34,39
"35",35,29
"36",36,32
"37",37,22
"38",38,9
"39",39,25
"40",40,22
"41",41,22
"42",42,35
"43",43,29
"44",44,29
"45",45,33
"46",46,22
"47",47,22
"48",48,41
"49",49,29
"50",50,29
"51",51,9
"52",52,9
"53",53,29
"54",54,19
"55",55,37
"56",56,37
"57",57,1
"58",58,17
"59",59,37
"60",60,37
"61",61,9
"62",62,29
"63",63,29
"64",64,18
"65",65,22
"66",66,42
"67",67,32
"68",68,22
"69",69,18
"70",70,33
"71",71,22
"72",72,29
"73",73,29
"74",74,19
"75",75,27
"76",76,47
"77",77,41
"78",78,22
"79",79,29
"80",80,18
"81",81,18
"82",82,29
"83",83,29
"84",84,33
"85",85,33
"86",86,22
"87",87,33
"88",88,9
"89",89,19
"90",90,6
"91",91,39
"92",92,29
"93",93,29
"94",94,9
"95",95,17
"96",96,37
"97",97,29
"98",98,9
"99",99,9
"100",100,9
"101",101,9
"102",102,29
"103",103,37
"104",104,9
"105",105,33
"106",106,29
"107",107,17
"108",108,22
"109",109,33
"110",110,29
"111",111,22
"112",112,29
"113",113,18
"114",114,7
"115",115,29
"116",116,34
"117",117,29
"118",118,32
"119",119,29
"120",120,29
"121",121,9
"122",122,23
"123",123,29
"124",124,33
"125",125,33
"126",126,22
"127",127,22
"128",128,33
"129",129,29
"130",130,7
"131",131,17
"132",132,29
"133",133,9
"134",134,34
"135",135,8
"136",136,32
"137",137,19
"138",138,27
"139",139,32
"140",140,17
"141",141,17
"142",142,29
"143",143,29
"144",144,9
"145",145,9
"146",146,29
"147",147,33
"148",148,34
"149",149,9
"150",150,22
"151",151,9
"152",152,29
"153",153,29
"154",154,29
"155",155,32
"156",156,17
"157",157,32
"158",158,22
"159",159,8
"160",160,9
"161",161,18
"162",162,37
"163",163,36
"164",164,5
"165",165,9
"166",166,9
"167",167,26
"168",168,29
"169",169,9
"170",170,22
"171",171,34
"172",172,25
"173",173,22
"174",174,22
"175",175,33
"176",176,33
"177",177,9
"178",178,32
"179",179,17
"180",180,37
"181",181,9
"182",182,18
"183",183,9
"184",184,8
"185",185,7
"186",186,9
"187",187,7
"188",188,9
"189",189,29
"190",190,33
"191",191,13
"192",192,29
"193",193,9
"194",194,32
"195",195,9
"196",196,17
"197",197,29
"198",198,33
"199",199,32
"200",200,22
"201",201,29
"202",202,32
"203",203,9
"204",204,34
"205",205,22
"206",206,29
"207",207,9
"208",208,29
"209",209,18
"210",210,29
"211",211,29
"212",212,33
"213",213,30
"214",214,16
"215",215,30
"216",216,29
"217",217,33
"218",218,29
"219",219,9
"220",220,22
"221",221,13
"222",222,22
"223",223,22
"224",224,29
"225",225,9
"226",226,22
"227",227,32
"228",228,18
"229",229,9
"230",230,22
"231",231,33
"232",232,9
"233",233,29
"234",234,25
"235",235,1
"236",236,32
"237",237,33
"238",238,33
"239",239,29
"240",240,36
"241",241,32
"242",242,30
"243",243,27
"244",244,18
"245",245,33
"246",246,35
"247",247,29
"248",248,33
